id,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
ENSMUSG00000048174,2.910919573,3.056650858,2.679575634,2.454221124,2.934425507,2.655502971,2.665043531,2.670861609,2.281879129
ENSMUSG00000084950,2.969277153,2.473802368,2.564430736,2.585746042,2.524922607,2.587546221,2.809572593,2.985178166,2.802022077
ENSMUSG00000017307,2.911871409,2.942627762,2.787899972,2.931093622,3.052542333,2.785845765,2.863709043,2.903255176,2.897779956
ENSMUSG00000031387,2.919948793,2.879819339,2.819045885,2.783558083,3.065738596,2.850505252,1.94491922,2.137801582,2.083464171
ENSMUSG00000039133,2.154976642,2.11167564,2.314534391,2.5494356,2.50505067,2.733631165,2.264839057,2.25324222,2.031476688
ENSMUSG00000098872,2.785704325,3.300091854,2.9246051,2.909512652,2.813804916,2.747246307,1.730260874,1.773863974,1.45222294
ENSMUSG00000037085,2.930338062,2.636787907,2.848176128,2.550233317,2.803940811,2.440334324,3.039335809,3.017623658,2.958199851
ENSMUSG00000054074,2.925948024,2.855148369,2.98016502,2.789112163,2.813259609,2.816988304,2.974889729,3.115443659,2.829073727
ENSMUSG00000031297,2.82569508,3.088311017,2.967885977,2.865433886,2.947096209,2.989017565,2.72339521,2.715604709,2.671853445
ENSMUSG00000021483,2.994105986,2.690462571,2.739461007,2.840328737,3.069601273,2.919344552,2.725222242,2.8321255,2.769119938
ENSMUSG00000020639,2.754744089,2.884255014,2.735467022,2.904554843,2.902528379,2.943420709,2.718594074,2.639789609,2.546108755
ENSMUSG00000053835,1.373894956,0.401050312,0.946323816,1.401021969,1.912080212,1.273807635,1.054707744,1.499784877,1.397555311
ENSMUSG00000074811,2.988074694,2.707645136,2.774230505,2.740291448,2.893256622,2.778119874,2.70831851,2.813856792,2.783069137
ENSMUSG00000075334,2.850437998,2.935112354,2.698165668,2.991589566,2.957374041,2.65782552,2.738448735,2.703072066,2.692081577
ENSMUSG00000049551,2.303208668,2.520916382,2.0437251,2.437255193,2.590340769,2.452552041,2.929462266,2.929895965,2.80900472
ENSMUSG00000029627,2.88895978,2.91266121,2.954701708,3.044636495,2.996135962,2.941698059,2.69873729,2.614290616,2.660557545
ENSMUSG00000031792,2.828937353,2.863097169,2.926648449,3.006313096,2.993447865,2.949091952,2.71006314,2.740899888,2.747271949
ENSMUSG00000040717,2.872224801,2.77216453,2.938500971,2.77688953,2.837128609,2.934227592,2.626228879,2.833734267,2.771784811
ENSMUSG00000054517,2.730965199,2.374353852,2.780851226,2.740159653,2.680484071,2.357461621,2.679620796,2.568248542,2.838970798
ENSMUSG00000022853,2.629671893,3.058536284,2.642956232,2.920154468,2.88375539,2.998829993,2.603400543,2.657661229,2.431729751
ENSMUSG00000022787,2.854846929,2.941371436,2.871882903,2.866366206,2.959320393,2.770883466,2.986535024,3.007270092,3.037526887
ENSMUSG00000068196,2.669042818,2.270151358,2.811418212,2.459081914,2.841084877,3.038198955,2.640879793,2.905721611,2.77926653
ENSMUSG00000064371,1.470064436,2.129380712,1.350592079,1.917210099,2.285666967,2.579271177,2.061918842,1.833223538,1.943592354
ENSMUSG00000041907,2.876944456,2.501182508,2.874822881,2.763617526,2.817577011,2.602223664,2.942204757,2.899854637,2.973721073
ENSMUSG00000086877,2.982571011,2.530682639,2.708520309,2.454323287,2.691999028,2.437500007,3.018160104,3.043503694,2.960229855
ENSMUSG00000048109,2.861525379,2.72642779,3.239673525,2.794982504,2.77396795,2.930072216,2.890112386,2.776323663,2.843824185
ENSMUSG00000058748,3.001694752,2.74307757,3.133429583,3.123068418,2.923565028,2.928137778,3.041217907,3.005540623,2.981945813
ENSMUSG00000041623,2.986436534,2.349146223,2.874205798,2.920971467,2.884231928,2.483703367,2.985387629,2.872746008,2.982227036
ENSMUSG00000074818,2.861410206,2.548077794,2.780557255,2.604341561,2.745807861,2.357112861,2.968074551,3.137790849,3.08511783
ENSMUSG00000027074,2.647161652,2.374890071,2.814431415,2.915954947,2.98418343,2.953641269,1.240319657,1.48979584,1.224211421
ENSMUSG00000078451,2.419363375,2.611688057,2.496617717,2.340332115,2.819111385,2.800605958,2.738193803,2.709081037,2.590075513
ENSMUSG00000006678,2.557407096,2.972777754,2.667257792,2.646112939,2.809351288,2.774533815,2.883299801,2.825464593,2.892938648
ENSMUSG00000039634,3.015805326,2.259496503,2.888492814,2.672673935,2.736996726,2.564628166,2.821661518,2.872608315,2.978759695
ENSMUSG00000032077,3.034979903,2.797242178,2.921196126,2.992138721,2.947204615,2.831738846,2.8984462,2.878193328,2.960443081
ENSMUSG00000032403,2.591702391,3.016090997,2.76752269,2.891891006,2.663014701,2.842390083,2.65387039,2.588663653,2.480653508
ENSMUSG00000019256,2.832527754,2.540823642,2.980515536,2.906530047,2.970217233,2.831042425,2.483262766,2.526984371,2.586094801
ENSMUSG00000039529,3.094866289,2.891874107,3.013721079,2.407060714,2.44025423,2.206489224,2.703302369,2.600113685,2.497728841
ENSMUSG00000031224,2.951383139,2.962332452,2.848147914,2.697155129,2.754137114,2.855408941,2.968336038,3.116565862,3.057467064
ENSMUSG00000023267,1.161342219,0.916785382,1.638715716,3.066057251,2.39567089,2.574678422,0.697365609,0.167902677,0.349262013
ENSMUSG00000023336,2.685614162,2.509693674,2.653398831,2.908430469,2.917560704,2.680518175,2.95478871,3.020261527,3.1807496
ENSMUSG00000025578,2.897514621,2.985785324,2.913311662,2.826530692,2.936634911,2.536513674,2.948300898,3.11913213,2.934207218
ENSMUSG00000021032,2.619483994,2.714444653,2.470026973,2.935046732,3.032778598,2.849542212,2.233503384,2.286216749,2.34083906
ENSMUSG00000021260,2.584669878,2.550532185,2.682174668,2.635580876,2.386250431,2.739853303,2.936986859,3.000779078,2.91461739
ENSMUSG00000006360,2.549501033,2.399384182,2.460276738,2.656005708,3.100615689,2.72151177,1.954492417,2.007260778,2.061181776
ENSMUSG00000022369,2.658495756,2.697058785,2.756221077,2.932559363,2.902723489,2.872891671,2.40714368,2.407193531,2.110949577
ENSMUSG00000023911,2.936974911,3.001663931,2.906583151,2.783563399,2.916848986,2.818213242,2.837626587,2.764834002,2.785857334
ENSMUSG00000091747,2.198254948,2.485351943,2.344487081,2.980589473,2.859810888,2.555390713,1.272171597,1.119514482,1.357400555
ENSMUSG00000045257,2.874360281,2.860510223,2.818807839,2.167476866,2.036889682,2.001570229,2.972159523,3.058313452,2.916391893
ENSMUSG00000042694,2.981992494,2.890462826,2.858839255,2.574848252,2.809880501,2.588501657,3.005987475,2.949841967,2.826322582
ENSMUSG00000041779,2.367158964,2.61324852,2.700155235,2.583114545,2.587591081,2.726379157,1.954224415,1.935155945,1.919089582
ENSMUSG00000045382,2.634712387,2.517415848,2.847118174,2.507662482,2.774171986,2.246114304,1.36861216,1.689022309,1.278528169
ENSMUSG00000040703,2.567996458,2.511253276,2.574853977,2.621135742,2.516261027,2.424169115,2.916988045,2.826482825,2.737860882
ENSMUSG00000070469,2.553377596,2.662492811,2.582909826,2.344795055,2.513578422,2.936212536,2.576730902,2.634882363,2.363569862
ENSMUSG00000070284,2.855775483,2.626502825,2.5002221,2.554436667,2.7207608,2.227434676,2.919002303,2.959897236,2.931627977
ENSMUSG00000075229,2.823521684,2.702241076,2.626736596,2.629614291,2.738325218,2.587546221,2.962743521,2.828925023,2.658434274
ENSMUSG00000040732,2.649939307,3.213701885,3.007182557,2.964488887,2.875581857,2.84726891,2.827305976,2.83058676,2.671777551
ENSMUSG00000060487,2.467254104,2.347281411,2.605185722,2.435242624,2.399382498,2.906875341,2.630900546,2.822772356,2.782022239
ENSMUSG00000020019,2.784426113,2.423939664,2.835384327,2.81225025,2.960758216,2.674192478,2.839578415,2.85929455,2.952970951
ENSMUSG00000091509,2.779048208,2.889505744,2.876281329,2.752656624,2.77033898,3.05014806,2.794967227,2.45915705,2.506440787
ENSMUSG00000022130,2.889180601,2.472872185,2.963378271,2.718050005,2.901301764,2.440249154,2.767351325,2.718816461,2.767214972
ENSMUSG00000000093,1.834188589,2.493271779,2.225960457,2.728013083,2.442737123,2.521428215,1.659732019,1.80902098,1.156506298
ENSMUSG00000075555,2.94068153,2.782184335,2.59093885,2.360886802,2.12285422,2.003066172,2.949332706,2.985968721,3.001062019
ENSMUSG00000051977,2.634712387,2.33942659,2.460828366,2.464974444,2.644874986,2.375443285,2.845940843,2.837875638,2.7613827
ENSMUSG00000047910,2.745514213,2.749899017,2.85924169,2.621405762,2.655451692,2.86205383,2.855906533,3.000988804,2.8764797
ENSMUSG00000034765,1.803520187,2.832723928,1.597483234,2.457874481,2.031604406,2.39184793,1.235485272,0.809534278,1.133812731
ENSMUSG00000002111,2.447582335,2.840423534,2.590361834,2.794921121,2.510323438,2.525966347,1.205855784,1.146615372,1.096606085
ENSMUSG00000017868,2.827501409,2.960978648,2.772287748,2.173113198,1.880260915,1.845638512,2.896861594,2.593794738,2.360827876
ENSMUSG00000078495,2.546846305,2.783657083,2.802610625,2.810189609,2.789329594,2.865717605,2.324893776,2.246961365,2.136265285
